english,korean,category,notes
Outworld Station,아웃월드 스테이션,worldview,게임명. 외래어 유지
Arkship,방주선,worldview,큰 모선
Commander,사령관,worldview,플레이어 호칭
Void,공허,worldview,자주 등장
Wormhole,웜홀,worldview,
Exoplanet,외계행성,worldview,
Quantum,양자,worldview,
Antimatter,반물질,worldview,
Catalyst,촉매,worldview,
Artifact,유물,worldview,
Module,모듈,worldview,외래어 정착
Reactor,원자로,worldview,
Starship,우주선,worldview,
General,일반,build_category,건설 카테고리
Resources,자원,build_category,
Production,생산,build_category,
Power,동력,build_category,
Transport,운송,build_category,
Defence,방어,build_category,
Science,과학,build_category,
Drone,드론,ship_equipment,
Freighter,화물선,ship_equipment,
Tug,예인선,ship_equipment,
Shipyard,조선소,ship_equipment,
Engine,엔진,ship_equipment,
Thruster,추진기,ship_equipment,
Afterburner,애프터버너,ship_equipment,
Shield,방어막,ship_equipment,
Hull,선체,ship_equipment,
Plating,장갑,ship_equipment,
Fuel,연료,ship_equipment,
Lazer,레이저,ship_equipment,게임이 Lazer로 표기 (sic)
Missile,미사일,ship_equipment,
Carbon,탄소,material,
Glass Fibre,유리섬유,material,
Composite,복합재,material,
Hydrogen,수소,material,
Gold,금,material,
Diamond,다이아몬드,material,
Ore,광석,material,
Hull Plating,선체 장갑,material,
Circuit Boards,회로 기판,material,
Computers,컴퓨터,material,
Exotic Matter,이그조틱 물질,material,
Storage,저장소,infrastructure,
Depot,창고,infrastructure,
Miner,채굴기,infrastructure,
Mining,채굴,infrastructure,
Factory,공장,infrastructure,
Atomizer,분해기,infrastructure,
Atomizing,분해,infrastructure,
Synthesizer,합성기,infrastructure,
Particle Accelerator,입자 가속기,infrastructure,
Recycler,재활용기,infrastructure,
Laboratory,연구소,infrastructure,
Equipment Station,장비 정거장,infrastructure,
Component Factory,부품 공장,infrastructure,
Space Elevator,우주 엘리베이터,infrastructure,
Conveyor,컨베이어,infrastructure,
Pipe,파이프,infrastructure,
Blueprint,청사진,infrastructure,
Sensor,센서,infrastructure,
Tech,기술,tech,
Upgrade,업그레이드,tech,
Overdrive Core,오버드라이브 코어,tech,
Fusion,융합,tech,
Fission,분열,tech,
Energy,에너지,tech,
Quantum Attunement,양자 동조,tech,
Auto-Repair,자동 수리,tech,
Filter,필터,tech,
Extractor,추출기,tech,
Contract,계약,ui_action,
Objective,목표,ui_action,
Mission,임무,ui_action,
Tutorial,튜토리얼,ui_action,
Unlock,잠금 해제,ui_action,
Unlocks,잠금 해제,ui_action,동사형도 같이 매핑
Build,건설,ui_action,
Crafting,제작,ui_action,
Equipment,장비,ui_action,
